Instance ID,Commodity ID,OD Distance,Max OD Distance,Min OD Distance,Avg OD Distance,Total # Commodities in Instance,Total Flow (sum qw) in Instance,Max Size (qw),Min Size (qw),Capacity of Small Vehicles,Capacity of Big Vehicles,Cost of Small Vehicles,Cost of Big Vehicles,Unit Routing cost small vehicles,Unit Routing cost big vehicles,Direct o-d routing cost small vehicle,Direct o-d routing cost big vehicle,Avg Transshipment Cost of All Nodes,Max Transshipment Cost of All Nodes,Min Transshipment Cost of All Nodes,Demand Size (qw),Total # Commodities with Same Origin,Total # Commodities with Same Destination,Relative Demand Size to Max,Relative Demand Size to Min,Relative Demand Size to Total ,Relative Demand size to small v cap,Relative Demand size relative to big v cap,Relative Distance to Max,Relative Distance to Min,Relative Distance to Avg,Relative Transshipment Cost Origin to Max,Relative Transshipment Cost Origin to Min,Relative Transshipment Cost Origin to Avg,Relative Transshipment Cost Destination to Max,Relative Transshipment Cost Destination to Min,Relative Transshipment Cost Destination to Avg,Relative # Commodities with Same Origin,Relative  # Commodities with Same Destination,Nodes Close to Origin (avg),Nodes Close to Destination (avg),Relative Nodes Close to Origin (avg),Relative Nodes Close to Destination (avg),Nodes Close to Origin (avg_minus_10),Nodes Close to Destination (avg_minus_10),Relative Nodes Close to Origin (avg_minus_10),Relative Nodes Close to Destination (avg_minus_10),Nodes Close to Origin (avg_plus_10),Nodes Close to Destination (avg_plus_10),Relative Nodes Close to Origin (avg_plus_10),Relative Nodes Close to Destination (avg_plus_10),Nodes Close to Origin (avg_minus_30),Nodes Close to Destination (avg_minus_30),Relative Nodes Close to Origin (avg_minus_30),Relative Nodes Close to Destination (avg_minus_30),Nodes Close to Origin (avg_plus_30),Nodes Close to Destination (avg_plus_30),Relative Nodes Close to Origin (avg_plus_30),Relative Nodes Close to Destination (avg_plus_30),Nodes Close to Origin (avg_minus_50),Nodes Close to Destination (avg_minus_50),Relative Nodes Close to Origin (avg_minus_50),Relative Nodes Close to Destination (avg_minus_50),Nodes Close to Origin (avg_plus_50),Nodes Close to Destination (avg_plus_50),Relative Nodes Close to Origin (avg_plus_50),Relative Nodes Close to Destination (avg_plus_50)
8R-alpha=021_Flow_50perc_HubCosts_5perc,2,3.8668,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,1160.04,1740.06,1261.21875,1458.6000000000001,1076.5,10.0,3,3,1.0,10.0,0.055248618784530384,0.1111111111111111,0.013333333333333334,0.24749103942652328,3.017636959575464,0.5568941615470097,1.0,1.3549465861588483,1.1565004088307442,0.8642191142191142,1.1709707385044126,0.9994697589137492,0.0967741935483871,0.0967741935483871,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,0,0.03225806451612903,0.0,1,1,0.03225806451612903,0.03225806451612903,1,0,0.03225806451612903,0.0,1,1,0.03225806451612903,0.03225806451612903
8R-alpha=021_Flow_50perc_HubCosts_5perc,3,15.0807,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,4524.21,6786.3150000000005,1261.21875,1458.6000000000001,1076.5,3.0,3,3,0.3,3.0,0.016574585635359115,0.03333333333333333,0.004,0.965226574500768,11.76892461370376,2.171913153522807,1.0,1.3549465861588483,1.1565004088307442,0.869600987248046,1.178262888992104,1.005693897271984,0.0967741935483871,0.0967741935483871,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0
8R-alpha=021_Flow_50perc_HubCosts_5perc,6,7.264,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,2179.2000000000003,3268.8,1261.21875,1458.6000000000001,1076.5,7.0,3,3,0.7,7.0,0.03867403314917127,0.07777777777777778,0.009333333333333334,0.4649257552483359,5.668799750273139,1.0461568194572977,1.0,1.3549465861588483,1.1565004088307442,0.883792677910325,1.1974918718067813,1.022106593324909,0.0967741935483871,0.0967741935483871,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,1,0.03225806451612903,0.03225806451612903,1,0,0.03225806451612903,0.0,1,1,0.03225806451612903,0.03225806451612903
8R-alpha=021_Flow_50perc_HubCosts_5perc,7,2.2333,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,669.99,1004.9849999999999,1261.21875,1458.6000000000001,1076.5,10.0,3,3,1.0,10.0,0.055248618784530384,0.1111111111111111,0.013333333333333334,0.14294034818228366,1.7428593725612609,0.3216384946164624,1.0,1.3549465861588483,1.1565004088307442,0.7380364733305909,1.0,0.853539483138829,0.0967741935483871,0.0967741935483871,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903
8R-alpha=021_Flow_50perc_HubCosts_5perc,10,8.2989,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,2489.67,3734.5049999999997,1261.21875,1458.6000000000001,1076.5,7.0,3,3,0.7,7.0,0.03867403314917127,0.07777777777777778,0.009333333333333334,0.531163594470046,6.476432027469954,1.195202481965056,0.882215823392294,1.1953553181607062,1.0202829604301396,0.8642191142191142,1.1709707385044126,0.9994697589137492,0.0967741935483871,0.0967741935483871,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,0,0.0,0.0,0,1,0.0,0.03225806451612903,0,0,0.0,0.0,0,1,0.0,0.03225806451612903
8R-alpha=021_Flow_50perc_HubCosts_5perc,11,3.8662,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,1159.8600000000001,1739.79,1261.21875,1458.6000000000001,1076.5,9.0,3,3,0.9,9.0,0.049723756906077346,0.1,0.012,0.247452636968766,3.017168721710629,0.5568077499154466,0.882215823392294,1.1953553181607062,1.0202829604301396,0.869600987248046,1.178262888992104,1.005693897271984,0.0967741935483871,0.0967741935483871,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
8R-alpha=021_Flow_50perc_HubCosts_5perc,12,8.9714,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,2691.4199999999996,4037.1299999999997,1261.21875,1458.6000000000001,1076.5,7.0,3,2,0.7,7.0,0.03867403314917127,0.07777777777777778,0.009333333333333334,0.5742063492063492,7.001248634306227,1.2920555190087004,0.882215823392294,1.1953553181607062,1.0202829604301396,0.7735842588783766,1.048165350673479,0.8946505116578707,0.0967741935483871,0.06451612903225806,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,0,0.0,0.0,0,1,0.0,0.03225806451612903
8R-alpha=021_Flow_50perc_HubCosts_5perc,13,8.8847,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,2665.4100000000003,3998.1150000000002,1261.21875,1458.6000000000001,1076.5,8.0,3,4,0.8,8.0,0.04419889502762431,0.08888888888888889,0.010666666666666666,0.5686571940604199,6.933588262837521,1.2795690382478322,0.882215823392294,1.1953553181607062,1.0202829604301396,0.9059714795008912,1.2275429633070134,1.047756386431775,0.0967741935483871,0.12903225806451613,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903,0,1,0.0,0.03225806451612903
8R-alpha=021_Flow_50perc_HubCosts_5perc,16,3.8668,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,1160.04,1740.06,1261.21875,1458.6000000000001,1076.5,7.0,3,3,0.7,7.0,0.03867403314917127,0.07777777777777778,0.009333333333333334,0.24749103942652328,3.017636959575464,0.5568941615470097,0.8642191142191142,1.1709707385044126,0.9994697589137492,1.0,1.3549465861588483,1.1565004088307442,0.0967741935483871,0.0967741935483871,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,0,1,0.0,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903,0,1,0.0,0.03225806451612903,1,1,0.03225806451612903,0.03225806451612903
8R-alpha=021_Flow_50perc_HubCosts_5perc,17,8.2989,15.624,1.2814,6.943509677419356,31,181.0,10.0,1.0,90.0,750.0,20000.0,35000.0,300.0,450.0,2489.67,3734.5049999999997,1261.21875,1458.6000000000001,1076.5,10.0,3,2,1.0,10.0,0.055248618784530384,0.1111111111111111,0.013333333333333334,0.531163594470046,6.476432027469954,1.195202481965056,0.8642191142191142,1.1709707385044126,0.9994697589137492,0.882215823392294,1.1953553181607062,1.0202829604301396,0.0967741935483871,0.06451612903225806,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,1,0,0.03225806451612903,0.0,0,0,0.0,0.0,1,0,0.03225806451612903,0.0,0,0,0.0,0.0,1,0,0.03225806451612903,0.0
