2
90     1   300.0   20000 4
750     1   450.0   35000 2
9
25368
22567
26429
25782
21530
22862
25123
24067
23135
4.00000   4.00000
12.00000   12.00000
4.86000   7.77000
13.93000   15.35000
4.92000   6.49000
7.62000   4.27000
8.59000   9.63000
5.40000   2.26000
13.36000   12.11000
1 1 0.0  0.0000
1 2 142.5  11.3137
1 3 7.0  3.8668
1 4 10.0  15.0807
1 5 3.0  2.6545
1 6 7.0  3.6301
1 7 9.0  7.2640
1 8 7.0  2.2333
1 9 8.0  12.3847
2 1 157.5  11.3137
2 2 0.0  0.0000
2 3 10.0  8.2989
2 4 7.0  3.8662
2 5 10.0  8.9714
2 6 4.0  8.8847
2 7 1.0  4.1527
2 8 0.0  11.7655
2 9 10.0  1.3644
3 1 4.0  3.8668
3 2 9.0  8.2989
3 3 0.0  0.0000
3 4 7.0  11.8204
3 5 6.0  1.2814
3 6 8.0  4.4573
3 7 6.0  4.1680
3 8 2.0  5.5364
3 9 2.0  9.5439
4 1 7.0  15.0807
4 2 6.0  3.8662
4 3 6.0  11.8204
4 4 0.0  0.0000
4 5 5.0  12.6364
4 6 5.0  12.7508
4 7 7.0  7.8252
4 8 4.0  15.6240
4 9 4.0  3.2898
5 1 4.0  2.6545
5 2 3.0  8.9714
5 3 6.0  1.2814
5 4 9.0  12.6364
5 5 0.0  0.0000
5 6 10.0  3.4955
5 7 2.0  4.8300
5 8 4.0  4.2571
5 9 1.0  10.1399
6 1 0.0  3.6301
6 2 10.0  8.8847
6 3 9.0  4.4573
6 4 4.0  12.7508
6 5 0.0  3.4955
6 6 0.0  0.0000
6 7 10.0  5.4471
6 8 1.0  2.9947
6 9 2.0  9.7166
7 1 6.0  7.2640
7 2 9.0  4.1527
7 3 7.0  4.1680
7 4 1.0  7.8252
7 5 4.0  4.8300
7 6 9.0  5.4471
7 7 0.0  0.0000
7 8 3.0  8.0308
7 9 9.0  5.3762
8 1 2.0  2.2333
8 2 10.0  11.7655
8 3 3.0  5.5364
8 4 7.0  15.6240
8 5 6.0  4.2571
8 6 8.0  2.9947
8 7 9.0  8.0308
8 8 0.0  0.0000
8 9 8.0  12.6643
9 1 9.0  12.3847
9 2 4.0  1.3644
9 3 5.0  9.5439
9 4 9.0  3.2898
9 5 5.0  10.1399
9 6 9.0  9.7166
9 7 8.0  5.3762
9 8 3.0  12.6643
9 9 0.0  0.0000
